recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens
Gluten-Free Pancakes,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",keto-friendly,lunch,Italian,"Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes.",Peanuts
Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth",high-protein,snack,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy
Chicken Caesar Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","paleo, vegetarian",lunch,Italian,"In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool.",Eggs
Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter","vegan, vegetarian, high-protein",breakfast,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs
Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth",high-protein,lunch,Indian,"Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts
Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","dairy-free, gluten-free, vegan",lunch,Italian,"Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces.",
Vegan Buddha Bowl,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","vegan, high-protein, paleo",lunch,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden.",Dairy
Protein Smoothie,"Banana, Whey protein, Almond milk, Peanut butter","high-protein, dairy-free",dinner,Indian,"In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy
Avocado Toast,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","keto-friendly, paleo, dairy-free",lunch,Asian,"Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs
Vegetarian Chili,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","gluten-free, high-protein, dairy-free",breakfast,Italian,"Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden.",Eggs
Gluten-Free Pancakes,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",low-carb,breakfast,Asian,"Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs
Gluten-Free Pancakes,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","low-carb, dairy-free, vegetarian",lunch,Mediterranean,"In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later.",Gluten
Vegetarian Chili,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","gluten-free, vegan",lunch,Asian,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later.",Eggs
Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",gluten-free,lunch,Asian,"Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later.",Peanuts
Chicken Caesar Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",high-protein,lunch,Indian,"In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later.",Gluten
Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegetarian, keto-friendly, high-protein",breakfast,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",
Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","high-protein, low-carb",snack,Asian,"Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy
Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth",gluten-free,dinner,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.",Dairy
Chicken Caesar Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","dairy-free, low-carb, vegetarian",breakfast,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs
Vegan Buddha Bowl,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, low-carb, vegan",dinner,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts
Taco Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","dairy-free, vegan, keto-friendly",snack,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.",Peanuts
Vegetarian Chili,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","low-carb, vegetarian",breakfast,Italian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool.",Peanuts
Beef Stir Fry,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","low-carb, vegan",lunch,Italian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool.",Dairy
Lentil Soup,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","gluten-free, vegetarian, dairy-free",lunch,Mediterranean,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",
Avocado Toast,"Lentils, Carrots, Celery, Garlic, Vegetable broth",keto-friendly,dinner,Mediterranean,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes.",Eggs
Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","low-carb, dairy-free, keto-friendly",lunch,Indian,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden.",Peanuts
Vegan Buddha Bowl,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","gluten-free, keto-friendly, vegan",lunch,Italian,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth.",Peanuts
Vegan Buddha Bowl,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegan, vegetarian",snack,Mexican,"Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth.",Peanuts
Vegan Buddha Bowl,"Lentils, Carrots, Celery, Garlic, Vegetable broth","high-protein, vegan",breakfast,Italian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor.",
